GEOID,LAT,LONG,COUNTRY
02346,41.878004,-70.869267,US
02347,41.834384,-70.956826,US
02350,42.021013,-70.845791,US
02351,42.115764,-70.956597,US
02356,42.060539,-71.119671,US
02357,42.063974,-71.077368,US
02359,42.067804,-70.805713,US
02360,41.882062,-70.631289,US
02364,41.987196,-70.741942,US
02366,41.848753,-70.661176,US
02367,41.9591,-70.802753,US
02368,42.178993,-71.052654,US
02370,42.129251,-70.908736,US
02375,42.00569,-71.078041,US
02379,42.021617,-71.026717,US
02382,42.078974,-70.93939,US
02420,42.459061,-71.217728,US
02421,42.438547,-71.239573,US
02445,42.325483,-71.135045,US
02446,42.343499,-71.122244,US
02451,42.40153,-71.252997,US
02452,42.395609,-71.219947,US
02453,42.368685,-71.241103,US
02457,42.298309,-71.27302,US
02458,42.353585,-71.188192,US
02459,42.314779,-71.192017,US
02460,42.351824,-71.20849,US
02461,42.317362,-71.206508,US
02462,42.331675,-71.255947,US
02464,42.312975,-71.218882,US
02465,42.349533,-71.227339,US
02466,42.345514,-71.247661,US
